Qty,Item,Unit Cost,Sum Cost,Link,,,,
1,AM2315 Temperature & Humidity Sensor,23.95,23.95,https://www.amazon.com/AM2315-Encased-Temperature-Humidity-Raspberry/dp/B011PR0WCW/ref=sr_1_1?s=pc&ie=UTF8&qid=1487963912&sr=1-1&keywords=am2315,,,,
1,DS18B20 Encased Temperature Sensor,3.29,3.29,https://www.amazon.com/Gikfun-DS18B20-Temperature-Waterproof-EK1083x3/dp/B00Q9YBIJI/ref=sr_1_1?s=pc&ie=UTF8&qid=1487963333&sr=1-1&keywords=ds18b20,,,,
1,MH-Z16 CO2 Sensor,67.95,67.95,http://sandboxelectronics.com/?product=mh-z16-ndir-co2-sensor-with-i2cuart-5v3-3v-interface-for-arduinoraspeberry-pi,,,,
1,pH Kit,149.15,149.15,https://www.atlas-scientific.com/product_pages/kits/ph-kit.html,,,,
1,Conductivity Kit 1.0,195.71,195.71,https://www.atlas-scientific.com/product_pages/kits/ec_k1_0_kit.html,,,,
1,Grove O2 Sensor,61.95,61.95,http://www.robotshop.com/en/grove-o-gas-sensor.html,,,,
1,ELP Machine Vision Camera,43,43,https://www.amazon.com/gp/product/B00KA83C8O/ref=od_aui_detailpages00?ie=UTF8&psc=1,,,,
1,Raspberry PI 3 Model B,38.31,38.31,https://www.amazon.com/Raspberry-Pi-RASPBERRYPI3-MODB-1GB-Model-Motherboard/dp/B01CD5VC92/ref=sr_1_2?s=pc&ie=UTF8&qid=1487962484&sr=1-2&keywords=raspberry+pi+3,,,,
1,32GB MicroSD Card,13.95,13.95,https://www.amazon.com/SanDisk-microSDHC-Standard-Packaging-SDSQUNC-032G-GN6MA/dp/B010Q57T02/ref=sr_1_3?s=pc&ie=UTF8&qid=1488392538&sr=1-3&keywords=micro+sd+card,,,,
1,Raspberry Pi Touchscreen,68.96,68.96,https://www.amazon.com/Raspberry-Pi-7-Touchscreen-Display/dp/B0153R2A9I/ref=sr_1_3?s=pc&ie=UTF8&qid=1487963137&sr=1-3&keywords=raspberry+pi+touchscreen,,,,
1,4-Channel Relay Board,8.49,8.49,https://www.amazon.com/SainSmart-101-70-101-4-Channel-Relay-Module/dp/B0057OC5O8/ref=sr_1_2?ie=UTF8&qid=1488324138&sr=8-2&keywords=sainsmart+relay,,,,
1,4-Port USB Hub,9.99,9.99,https://www.amazon.com/gp/product/B00XMD7KPU/ref=oh_aui_detailpage_o03_s00?ie=UTF8&psc=1,,,,
2,Atlas USB Carrier Board,46,92,https://www.atlas-scientific.com/product_pages/components/usb-iso.html,,,,
1,8-Channel I2C Patch Board,14.95,14.95,http://sandboxelectronics.com/?product=i2c-passive-extender-patch-board,,,,
1,8-Channel USB GPIO Board,19.95,19.95,http://numato.com/8-channel-usb-gpio-module-with-analog-inputs/,,,,
1,128GB Portable SSD,67.95,67.95,https://www.amazon.com/gp/product/B00K75U6G6/ref=oh_aui_detailpage_o03_s00?ie=UTF8&psc=1,,,,
